Tmdbid,Title,Genre1,Genre2,Genre3,Genre4,Genre5,TmdbVote,Keywords
33238,Running Man,Comedy,Reality,,,,8.2,"mission,comedian,game,race,variety show,running man"
73055,Attack on Titan: No Regrets,Sci-Fi & Fantasy,Action & Adventure,Animation,,,8.9,"monster,violence,giant,anime"
71789,SEAL Team,Action & Adventure,Drama,War & Politics,,,7.8,"u.s. navy seal,soldier,special forces,military,warfield"
34524,Teen Wolf,Sci-Fi & Fantasy,Drama,,,,8.5,"high school,supernatural,werewolf,creature,interspecies romance"
46952,The Blacklist,Drama,Crime,Mystery,,,7.4,"terrorist,fbi,investigation,criminal mastermind,crime lord,hidden identity,criminal consultant"
40605,Die Harald Schmidt Show,Reality,,,,,1.5,sketch comedy
94413,The Mess You Leave Behind,Drama,Mystery,,,,6.9,based on novel or book
1408,House,Drama,Comedy,Mystery,,,8.6,"drug addiction,misanthrophy,hospital,doctor,patient,medical drama"
2004,Malcolm in the Middle,Family,Comedy,Drama,,,8.4,"sibling relationship,middle class,dysfunctional family,family relationships,social satire,teenager,family,sitcom,boys"
70523,Dark,Sci-Fi & Fantasy,Drama,Mystery,Crime,,8.5,"small town,cave,investigation,time travel,surrealism,nuclear power plant,cop,woods,mystery,priest,disappearance,time loop,missing child,watchmaker,mysterious past,alternative timeline,family crisis"
37680,Suits,Drama,,,,,7.9,"lawyer,impostor,law firm,photographic memory,paralegal,corporate law,courtroom drama"
97180,Selena: The Series,Drama,,,,,7.5,"music,musical,biography"
72305,Kakegurui,Action & Adventure,Animation,Drama,Mystery,,8.4,"gambling,gambling debt,based on manga,anime"
68507,His Dark Materials,Drama,Sci-Fi & Fantasy,,,,8.1,"witch,magic,airship,orphan,child kidnapping,parallel universe,alternate universe,based on young adult novel,talking animals"
1418,The Big Bang Theory,Comedy,,,,,7.6,"nerd,geek,friends,scientist,science,sitcom"
13945,"Gute Zeiten, schlechte Zeiten",Drama,Soap,,,,5,love
63926,One-Punch Man,Action & Adventure,Animation,Comedy,,,8.4,"martial arts,monster,cyborg,superhero,supernatural,karate,parody,social commentary,based on manga,alien invasion,fighting,super power,zero to hero,seinen,anime,absurd humor,ganges"
89641,Love Alarm,Drama,Sci-Fi & Fantasy,,,,8.5,"technology,love,matchmaking"
2190,South Park,Animation,Comedy,,,,8.2,"adult humor,colorado,satire,parody,elementary school,social satire,best friend,group of friends,adult animation,censorship"
60708,Gotham,Drama,Fantasy,Crime,,,7.5,"dc comics,insane asylum,based on comic,super power,super villain,origin story"
60625,Rick and Morty,Animation,Comedy,Sci-Fi & Fantasy,Action & Adventure,,8.7,"time travel,grandfather,mad scientist,alcoholism,alien,scientist,multiple dimensions,spaceship"
12926,Teresa,Drama,Soap,,,,7.4,"telenovela,wealthy teens"
76773,Station 19,Action & Adventure,Drama,,,,8.2,"fire brigade,seattle,firefighting,spin off,firefighter"
43348,Pablo Escobar The Drug Lord,Crime,Drama,,,,7.5,"colombia,organized crime,drug lord"
71790,S.W.A.T.,Action & Adventure,Crime,Drama,,,7.6,"los angeles, california,swat team"
60574,Peaky Blinders,Drama,Crime,,,,8.6,"london, england,england,gypsy,world war i,gangster,outlaw,drugs,ireland,criminal,period drama,betting on horse,horse racing,illegal gambling,historical drama,1910s,birmingham"
39351,Grimm,Drama,Fantasy,Mystery,,,8.1,"police,fairy tale,detective,supernatural,creature,police detective,homicide detective,neo-noir,fighting supernatural"
1413,American Horror Story,Drama,Mystery,Sci-Fi & Fantasy,,,8,"nun,asylum,supernatural,haunted house,school of witchcraft,carnival,horror,anthology,witchcraft,coven,freak show,horror anthology"
80240,The Queen of Flow,Drama,,,,,7.9,"medellín colombia,singer,revenge,wrongful imprisonment,telenovela,reggaeton"
62455,Locked Up,Drama,,,,,8,"prison,corruption,prisoner,prison guard,female prisoner,female homosexuality"
65282,Home Alone,Reality,,,,,7.6,single
46896,The Originals,Sci-Fi & Fantasy,Drama,Mystery,,,8.6,"witch,vampire,new orleans, louisiana,battle for power,rivalry,werewolf,spin off"
60797,Scorpion,Action & Adventure,Drama,Crime,,,8.3,"hacker,autism,genius,nerd,science,national security,social outcast,problem solving"
65334,Miraculous: Tales of Ladybug & Cat Noir,Action & Adventure,Animation,Kids,,,7.7,"france,paris, france,magic,superhero,romance,interracial romance,female protagonist,magical girl,teen superhero"
80748,FBI,Crime,Drama,Action & Adventure,,,7.8,"new york city,fbi,investigation,crime scene,agent"
15260,Adventure Time,Fantasy,Animation,Comedy,,,8.2,"princess,post-apocalyptic future,cartoon,wizard"
94167,El Cid,Action & Adventure,Drama,War & Politics,,,7.1,"monarchy,period drama,historical,11th century,iberian peninsula"
94305,The Walking Dead: World Beyond,Drama,Sci-Fi & Fantasy,Mystery,,,7.8,"post-apocalyptic future,gore,survivor,undead,based on comic,horror,survival,zombie,surviving"
95439,The End of Paradise,Drama,Action & Adventure,,,,5.7,telenovela
13126,Matinee Theater,Drama,,,,,1,anthology
45815,Avenida Brasil,Drama,Mystery,Soap,Crime,,7.9,"love triangle,rio de janeiro,middle class,revenge,betrayal,football (soccer)"
4057,Criminal Minds,Crime,Drama,Mystery,,,8.2,"fbi,thriller,criminal mastermind,criminal profiler,crime investigation,special agent,criminology,police procedural"
76121,DARLING in the FRANXX,Action & Adventure,Animation,Sci-Fi & Fantasy,,,8.9,"romance,mecha"
2309,Danny Phantom,Action & Adventure,Animation,Comedy,Sci-Fi & Fantasy,,8.4,"teenager,ghost,teen superhero"
1403,Marvel's Agents of S.H.I.E.L.D.,Drama,Sci-Fi & Fantasy,Action & Adventure,,,7.4,"based on comic,marvel cinematic universe,marvel comics"
62715,Dragon Ball Super,Animation,Action & Adventure,Sci-Fi & Fantasy,,,8.2,"shounen,anime"
1434,Family Guy,Animation,Comedy,,,,6.9,"adult humor,satire,parody,middle class,dysfunctional family,social satire,boy genius,adult animation"
71728,Young Sheldon,Comedy,,,,,8,"prequel,school,sibling,family,kid genius"
32798,Hawaii Five-0,Action,Crime,Drama,,,7.4,"hawaii,remake,task force,criminal investigation"
1412,Arrow,Crime,Drama,Mystery,Action & Adventure,,6.6,"dc comics,superhero,based on comic,superhero team,masked vigilante"
37606,The Amazing World of Gumball,Family,Sci-Fi & Fantasy,Animation,Comedy,,8.4,cartoon cat
70785,Anne with an E,Drama,Family,,,,8.8,"friendship,based on novel or book,coming of age,unrequited love,orphan,period drama,19th century,found family"
1668,Friends,Comedy,Drama,,,,8.4,"new york city,friendship,roommate,cafe,apartment,group of friends,apartment complex,laughter,sitcom,searching for love"
2691,Two and a Half Men,Comedy,,,,,7.3,"california,sibling relationship,composer,roommate,evil mother,malibu,advertising,drinking,beach house,casual sex,sitcom,living with sibling,set in one room"
113600,Equinox,Sci-Fi & Fantasy,Drama,,,,7.6,"denmark,trauma,disappearance"
39429,You Hee-yeol's Sketchbook,Talk,,,,,7.8,"music,music concert,k-pop"
62688,Supergirl,Action,Adventure,Drama,Science Fiction,,7.2,"dc comics,superhero,based on comic,female protagonist"
46331,Under the Dome,Drama,Mystery,Sci-Fi & Fantasy,,,7.3,"small town,based on novel or book,police officer,trapped,corrupt politician,dome,invisible barrier,force field"
75219,9-1-1,Drama,Action & Adventure,Crime,,,8,"california,los angeles, california,firefighter,emergency,first responders,emergency services"
80743,Insatiable,Drama,Comedy,,,,7.9,"high school,dark comedy,bullying,revenge,teenager"
4614,NCIS,Crime,Action & Adventure,Drama,,,7.3,"navy,crime lab,u.s. marine,crime investigation,ncis"
98986,Uzaki-chan Wants to Hang Out!,Animation,Comedy,,,,8.4,"romance,slice of life,student,based on manga,ecchi,anime,college life"
2224,The Daily Show with Trevor Noah,News,Comedy,,,,6.4,"news broadcast,political satire,late-night show"
13916,Death Note,Animation,Mystery,,,,8.6,"police,secret identity,detective,journalism,supernatural,rivalry,murder,thriller,serial killer,psychological thriller,based on manga,justice,death,dual life,contemporary,shounen,anime,shinigami,time skip,magic book"
62650,Chicago Med,Drama,,,,,8.2,"chicago, illinois,nurse,hospital,doctor,spin off,medical drama"
85791,Entrée principale,News,,,,,0,magazine show
70672,Men on a Mission,Reality,Comedy,,,,8.2,classroom
2038,Drake & Josh,Comedy,,,,,8.5,"sibling relationship,teenager,family,blended family,teenagers"
14743,El Cor de la Ciutat,Drama,,,,,7,"love,neighbor,family,neighborhood"
1431,CSI: Crime Scene Investigation,Crime,Drama,Mystery,,,7.3,"police,detective,mystery,las vegas,crime lab,forensic,murder investigation,crime investigation,csi,crime scene investigaton,police procedural"
94372,FBI: Most Wanted,Crime,Drama,,,,7.4,"fbi,fugitive,task force,spin off"
40075,Gravity Falls,Animation,Comedy,Mystery,Sci-Fi & Fantasy,Kids,8.3,"symbolism,mystery,kids,supernatural phenomena,tourist trap"
92401,Ex-Arm,Animation,Action & Adventure,Sci-Fi & Fantasy,,,10,"android,cyberpunk,based on manga,seinen,ecchi,anime"
31132,Regular Show,Adventure,Animation,Comedy,,,8.7,"time travel,racoon,slacker,anthropomorphism,park,high school friends,video gamer,rock culture"
52910,Law of the Jungle,Reality,,,,,7,survival
85723,Raised by Wolves,Sci-Fi & Fantasy,Drama,,,,7.6,"android,post-apocalyptic future,space colony,distant future,space opera"
113246,Tiny Pretty Things,Drama,Mystery,,,,8,"based on novel or book,ballet school"
31917,Pretty Little Liars,Drama,Mystery,,,,7.9,"high school,secret,based on novel or book,forbidden love,female friendship,bullying,teenager,teen drama,suspicious death,based on young adult novel"
14853,The Clone,Soap,Drama,Sci-Fi & Fantasy,,,8.1,"love triangle,clone,islam,romance,time paradox,human clones,human cloning,different religion"
4194,Star Wars: The Clone Wars,Action & Adventure,Animation,Sci-Fi & Fantasy,,,8.5,space opera
46296,Spartacus,Drama,,,,,7.9,"gladiator,arena,ancient rome,slave,sword and sandal"
110837,Bungo Stray Dogs Wan!,Animation,Comedy,,,,0,"supernatural,slice of life,based on manga,spin off,anime,chibi"
100834,Veneno,Drama,,,,,8.4,"biography,lgbt,social & cultural documentary"
74204,Big Mouth,Animation,Comedy,,,,7.8,"puberty,adolescence,crude humor,middle school,teenager,teenage sexuality,pubescent"
1639,Heroes,Sci-Fi & Fantasy,Drama,,,,7.4,"hero,villain,superhuman,super power"
63510,Attack on Titan: Junior High,Animation,Comedy,,,,7.6,"parody,anime"
1424,Orange Is the New Black,Comedy,Drama,,,,7.7,"prison,women's prison,lesbian relationship,lgbt,prison life"
62046,Scream Queens,Mystery,Crime,Comedy,Drama,,8,"college,satire,horror,murder,serial killer,blood,hospital,slasher"
61374,Tokyo Ghoul,Action & Adventure,Animation,Drama,Mystery,,8.5,"monster,dystopia,supernatural,secret organization,gore,horror,tragedy,murder,disaster,torture,based on manga,violence,fighting,mutilation,dark fantasy,seinen,anime,drastic change of life"
62710,Blindspot,Action,Crime,Drama,,,7.2,"amnesia,tattoo,fbi,puzzle,memory loss,memory"
64614,En mode Salvail,Comedy,Talk,,,,2,"talk show,celebrity"
75450,Titans,Action & Adventure,Sci-Fi & Fantasy,Drama,,,8.1,"secret identity,dc comics,superhero,based on comic,superhero team,teen superhero"
65494,The Crown,Drama,,,,,8.2,"england,royal family,history,royalty,british politics,palace intrigue,british royal family,british monarchy,queen elizabeth ii"
4229,Dexter's Laboratory,Animation,Comedy,Family,Sci-Fi & Fantasy,,7.7,"villain,house,robot,scientist,family,boy genius,science,brother sister "
31251,Victorious,Drama,Comedy,Family,Kids,,8.2,"aspiring singer,teenager,teenagers"
73347,Sucré Salé,Talk,,,,,9.3,"talk show,cultural magazine"
76719,The Rain,Sci-Fi & Fantasy,Drama,,,,7.6,"post-apocalyptic future,teen drama"
2426,Angel,Sci-Fi & Fantasy,Drama,,,,8,"monster,vampire,anti hero,redemption,vampire hunter,evil corporation,spin off,vampire slayer,dark fantasy,neo-noir,fighting supernatural,supernatural power"
2288,Prison Break,Action & Adventure,Crime,Drama,,,8,"prison,prisoner,escape,brother,fugitive,conspiracy,wrongful imprisonment,ex-con,escaped prisoner,effects from the past"
58929,Head over Heels,Drama,Romance,Soap,,,0,telenovela
46101,Senhora do Destino,Soap,,,,,9,"newspaper,rio de janeiro,carnival,rivalry,missing person,military dictatorship"
36951,Vamp,Soap,Comedy,Action & Adventure,,,9,vampire
66788,13 Reasons Why,Mystery,Drama,,,,7.8,"depression,high school,suicide,based on novel or book,bullying,loss,teenager,guilt,classmate,audio cassette,based on young adult novel"
1100,How I Met Your Mother,Comedy,,,,,8.1,"bar,self-discovery,roommate,apartment,group of friends,sitcom,searching for love"
19614,It,Drama,Mystery,Sci-Fi & Fantasy,,,6.8,"based on novel or book,supernatural,clown,flashback,mystery,miniseries,evil"
615,Futurama,Animation,Comedy,Sci-Fi & Fantasy,,,8.3,"future,spacecraft,space travel,adult humor,parody,mad scientist,alien,social satire,distant future,robot,adult animation,delivery service,alien world"
66465,The Kapil Sharma Show,Comedy,Talk,,,,7.9,sketch comedy
32692,Blue Bloods,Crime,Drama,,,,7.4,"new york city,police,police commissioner"
74016,The Resident,Drama,,,,,8.5,"hospital,doctor,medical drama,medical resident"
5371,iCarly,Comedy,Family,Drama,Kids,,8,"friendship,brother,television,sister,friends,teenager,living with sibling"
57706,Ranma ½,Comedy,Action & Adventure,Animation,,,8.7,"nudity,mixed martial arts,curse,based on manga,anime,gender swap,turned into animal"
60743,Constantine,Action & Adventure,Drama,Sci-Fi & Fantasy,,,7.8,"angel,dc comics,exorcism,possession,based on comic,horror,demonic possession"
87108,Chernobyl,Drama,,,,,8.5,"based on a true story,miniseries,nuclear catastrophe,1980s,chernobyl"
110070,Horimiya,Animation,Comedy,Drama,,,9.5,"secret identity,romantic comedy,romance,love,slice of life,based on manga,school life,shounen,anime,greatest moments,students"
17610,NCIS: Los Angeles,Action & Adventure,Drama,Crime,Mystery,,7.3,"navy,undercover,los angeles, california,spin off,u.s. marine,military,crime investigation,ncis"
77341,Enemigo íntimo,Action & Adventure,,,,,7.5,telenovela
1606,Ghost Whisperer,Sci-Fi & Fantasy,Mystery,Drama,,,8,"psychic power,ghost,talking to the dead"
111494,Física o química: El reencuentro,Drama,,,,,7.2,"secret,sequel,reunion,wedding"
61175,Steven Universe,Animation,Comedy,Action & Adventure,Family,Sci-Fi & Fantasy,8.4,"hero,coming of age,based on manga,lgbt,hidden powers,interdimensional beings,hero in training,based on anime"
74428,Rosario Tijeras,Drama,,,,,7.3,thriller
1433,American Dad!,Animation,Comedy,,,,6.6,"cia,adult animation"
103157,The Hidden Dungeon Only I Can Enter,Animation,Comedy,Action & Adventure,Sci-Fi & Fantasy,,7.5,"monster,magic,harem,romance,based on manga,super power,fantasy world,ecchi,anime"
1395,Gossip Girl,Drama,Mystery,Comedy,,,8.3,"new york city,based on novel or book,upper class,private school,bullying,growing up,class differences,teenage romance,teen drama,wealthy teens,based on young adult novel"
4607,Lost,Action & Adventure,Mystery,,,,7.9,"island,mystery,airplane crash,uncharted"
83097,The Promised Neverland,Animation,Mystery,Sci-Fi & Fantasy,Action & Adventure,Drama,9.2,"rebellion,friendship,child abuse,blackmail,dystopia,agriculture,coming of age,revenge,survival,tragedy,murder,based on manga,demon,mutilation,dark fantasy,angst,shounen,anime"
67136,This Is Us,Comedy,Drama,,,,8.2,"sibling relationship,loss of loved one,adoption,addiction,family relationships,romance,flashback,grief,grieving,melodrama"
56570,Outlander,Adventure,Drama,Fantasy,Romance,,8.1,"based on novel or book,magic,scotland,time travel,romance,history,18th century"
90660,Kengan Ashura,Animation,Action & Adventure,,,,8.3,"martial arts,gladiator,based on cartoon,anime"
45950,High School DxD,Action & Adventure,Comedy,Sci-Fi & Fantasy,Animation,,8.8,"high school,nudity,supernatural,harem,demon,ecchi,based on light novel,anime,school club"
62560,Mr. Robot,Crime,Drama,,,,8.2,"hacker,secret society,childhood trauma,thriller,psychological thriller,social anxiety,nature of reality"
71886,Siren,Sci-Fi & Fantasy,Drama,,,,7.7,"mermaid,siren"
63401,We Bare Bears,Family,Comedy,Animation,,,7.7,"anthropomorphism,cartoon bear"
34307,Shameless,Drama,Comedy,,,,7.9,"sibling relationship,single parent,self-destruction,big family,dysfunctional family,remake,drugs,single father,alcoholic father"
1419,Castle,Drama,Crime,,,,7.9,"new york city,police,writer,novelist,criminal investigation,female detective,homicide detective,criminal consultant,male writer,police procedural"
71912,The Witcher,Sci-Fi & Fantasy,Drama,Action & Adventure,,,8.1,"monster,based on novel or book,magic,mutation,mutant,fantasy world,the witcher"
96316,Rent-a-Girlfriend,Comedy,Animation,,,,9,"romantic comedy,harem,romance,slice of life,student,based on manga,school life,ecchi,shounen,anime"
45816,Da Cor do Pecado,Comedy,Drama,Soap,,,5.8,"secret,love triangle,wrestling,twin brother,rivalry,money"
73870,Génial!,Family,,,,,1.7,"experiment,game show,science"
16420,Boys Over Flowers,Comedy,Drama,,,,8.3,"high school,friendship,love triangle,bullying,romance,love-hate relationship,school,based on manga,rich parents,rich man poor woman,rich kids,reverse harem"
64499,Precious Pearl,Comedy,Drama,Soap,,,8.7,telenovela
693,Desperate Housewives,Mystery,Drama,Comedy,,,7.9,"secret,housewife,female friendship,neighbor,neighborhood"
70215,The White Princess,Drama,,,,,8,"princess,england,monarchy,royalty,miniseries,palace intrigue,historical drama,costume drama,15th century,british royal family"
90937,BEASTARS,Animation,Drama,,,,8.7,"black market,romance,anthropomorphism,slice of life,survival,school,student,based on manga,shounen,anime,drama club"
67133,MacGyver,Drama,Action & Adventure,,,,7.1,"escape,technology,secret government organization,remake,agent,problem solving"
36126,Al salir de clase,Drama,Comedy,,,,0,"young adult,asdc"
81354,Ratched,Mystery,Drama,Crime,,,7.9,thriller
61923,Star vs. the Forces of Evil,Action & Adventure,Animation,Comedy,Sci-Fi & Fantasy,,8.4,"princess,magic,multiple dimensions"
16183,A Grande Família,Comedy,,,,,8,"brazilian,dysfunctional family,family relationships,sitcom,absurdist"
60572,Pokémon,Animation,Action & Adventure,Sci-Fi & Fantasy,,,6.8,"pokémon,children,creature,based on video game,fantasy world,adventurer,pikachu,anime"
82739,Rascal Does Not Dream of Bunny Girl Senpai,Animation,Comedy,Mystery,,,8.8,"supernatural,romance,school,based on light novel,anime"
57243,Doctor Who,Action & Adventure,Drama,Sci-Fi & Fantasy,,,7.2,"time travel,time machine,phone booth,alien,time traveler,police box"
1421,Modern Family,Comedy,,,,,7.5,"family relationships,breaking the fourth wall,family,sitcom,blended family"
77240,Captain Tsubasa,Animation,Comedy,Drama,,,7.9,"sports,competition,coming of age,remake,tournament,football (soccer),teenager,based on manga,anime"
4087,The X-Files,Mystery,Drama,Sci-Fi & Fantasy,,,8.3,"fbi,investigation,supernatural,paranormal phenomena,alien,ufo,conspiracy,paranormal investigation,phenomenon,american folklore,supernatural power"
80825,Jesus,Drama,,,,,7.5,based on novel or book
16120,Alma Gêmea,Soap,Comedy,Drama,Mystery,,5.8,"jealousy,reincarnation,white rose,mystery,star crossed lovers,fortune,indian"
109958,The Haunting of Bly Manor,Mystery,Drama,,,,7.9,"based on novel or book,haunted house,haunting,lgbt,ghost,1980s,supernatural horror"
605,"Sabrina, the Teenage Witch",Comedy,Family,Sci-Fi & Fantasy,,,7.9,"witch,high school,friendship,magic,cat,supernatural,based on comic,female protagonist,animal,teen witch,talking cat,sitcom"
111111,Blood of Zeus,Animation,Action & Adventure,Sci-Fi & Fantasy,,,8.4,"greek mythology,gods,ancient greece,anime"
100022,Kemono Jihen,Animation,Mystery,Action & Adventure,Sci-Fi & Fantasy,,7.7,"detective,investigation,supernatural,based on manga,youkai,shounen,anime,mysterious death,occultism"
66203,I am Luna,Soap,Kids,,,,8,"music,family,telenovela"
1981,Charmed,Comedy,Drama,Mystery,Sci-Fi & Fantasy,,8.1,"witch,sibling relationship,magic,warrior woman,female protagonist,demon,succubus"
79501,Doom Patrol,Sci-Fi & Fantasy,Action & Adventure,Comedy,,,7.6,"dc comics,superhero,based on comic,misfit,superhero team,weird science"
